Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Cowan et al (2011),259,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Cowan et al (2011),259,,13-Vocabulary ,,,,,,,,0.415,0.455,,,,1,,
Cowan et al (2011),259,,14-EF,,,,,,,,,,,,,0.32,1,
Cowan et al (2011),259,,15-Age,,,,,,,,,,,,,,,
Anderson et al (2012),43,yxj17_1,1-PA,1,,,,,,,,,,,,,,
Anderson et al (2012),43,,2-digitPM,,1,,,,,,,,,,,,,
Anderson et al (2012),43,,3-nondigitPM,,,1,,,,,,,,,,,,
Anderson et al (2012),43,,4-digitRAN,,,,1,,,,,,,,,,,
Anderson et al (2012),43,,5-non-digitRAN,,,,,1,,,,,,,,,,
Anderson et al (2012),43,,6-mathFluency,,,,,0.2575,1,,,,,,,,,
Anderson et al (2012),43,,7-mathAccuracy,,,,,0.0867,,1,,,,,,,,
Anderson et al (2012),43,,8-basicNumberKnowledge,,,,,0.3,,0.54,1,,,,,,,
Anderson et al (2012),43,,9-calculation,,,,,,,,,1,,,,,,
Anderson et al (2012),43,,10-WordProblem,,,,,,,,,,1,,,,,
Anderson et al (2012),43,,11-VerbalIQ,,,,,0.06,,0.4,0.43,,0.4,1,,,,
Anderson et al (2012),43,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Anderson et al (2012),43,,13-Vocabulary ,,,,,,,,,,,,,1,,
Anderson et al (2012),43,,14-EF,,,,,,,,,,,,,,1,
Anderson et al (2012),43,,15-Age,,,,,,,,,,,,,,,
Anderson et al (2012),20,yxj17_2,1-PA,1,,,,,,,,,,,,,,
Anderson et al (2012),20,,2-digitPM,,1,,,,,,,,,,,,,
Anderson et al (2012),20,,3-nondigitPM,,,1,,,,,,,,,,,,
Anderson et al (2012),20,,4-digitRAN,0.45,,,1,,,,,,,,,,,
Anderson et al (2012),20,,5-non-digitRAN,,,,,1,,,,,,,,,,
Anderson et al (2012),20,,6-mathFluency,,,,0.65,,1,,,,,,,,,
Anderson et al (2012),20,,7-mathAccuracy,,,,0.41,,,1,,,,,,,,
Anderson et al (2012),20,,8-basicNumberKnowledge,,,,0.31,,,,1,,,,,,,
Anderson et al (2012),20,,9-calculation,,,,,,,,,1,,,,,,
Anderson et al (2012),20,,10-WordProblem,,,,,,,,,,1,,,,,
Anderson et al (2012),20,,11-VerbalIQ,0.53,,,0.31,,,,,,,1,,,,
Anderson et al (2012),20,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Anderson et al (2012),20,,13-Vocabulary ,,,,,,,,,,,,,1,,
Anderson et al (2012),20,,14-EF,0.38,,,,,,,,,,0.32,,,1,
Anderson et al (2012),20,,15-Age,,,,,,,,,,,,,,,
Branum et al (2012),258,yxj18,1-PA,1,,,,,,,,,,,,,,
Branum et al (2012),258,,2-digitPM,,1,,,,,,,,,,,,,
Branum et al (2012),258,,3-nondigitPM,,,1,,,,,,,,,,,,
Branum et al (2012),258,,4-digitRAN,,,,1,,,,,,,,,,,
Branum et al (2012),258,,5-non-digitRAN,,,,,1,,,,,,,,,,
Branum et al (2012),258,,6-mathFluency,,,,,,1,,,,,,,,,
Branum et al (2012),258,,7-mathAccuracy,0.435,,,,0.16,,1,,,,,,,,
Branum et al (2012),258,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Branum et al (2012),258,,9-calculation,0.49,,,,0.16,,0.42,,1,,,,,,
Branum et al (2012),258,,10-WordProblem,0.38,,,,0.05,,0.42,,0.42,1,,,,,
Branum et al (2012),258,,11-VerbalIQ,,,,,,,,,,,1,,,,
Branum et al (2012),258,,12-nonverbalIQ,0.44,,,,0.05,,0.05,,0.36,0.35,,1,,,
Branum et al (2012),258,,13-Vocabulary ,0.49,,,,0.26,,0.31,,0.31,0.42,,0.31,1,,
Branum et al (2012),258,,14-EF,,,,,,,,,,,,,,1,
Branum et al (2012),258,,15-Age,,,,,,,,,,,,,,,
Fuchs et al (2012),279,yxj19,1-PA,1,,,,,,,,,,,,,,
Fuchs et al (2012),279,,2-digitPM,,1,,,,,,,,,,,,,
Fuchs et al (2012),279,,3-nondigitPM,,,1,,,,,,,,,,,,
Fuchs et al (2012),279,,4-digitRAN,,,,1,,,,,,,,,,,
Fuchs et al (2012),279,,5-non-digitRAN,,,,,1,,,,,,,,,,
Fuchs et al (2012),279,,6-mathFluency,0.33,,,,,1,,,,,,,,,
Fuchs et al (2012),279,,7-mathAccuracy,,,,,,,1,,,,,,,,
Fuchs et al (2012),279,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Fuchs et al (2012),279,,9-calculation,0.33,,,,,,,,1,,,,,,
Fuchs et al (2012),279,,10-WordProblem,0.375,,,,,,,,0.5275,1,,,,,
Fuchs et al (2012),279,,11-VerbalIQ,,,,,,0.375,,,,,1,,,,
Fuchs et al (2012),279,,12-nonverbalIQ,0.32,,,,,0.27,,,0.27,0.375,,1,,,
Fuchs et al (2012),279,,13-Vocabulary ,,,,,,,,,,,,0.23,1,,
Fuchs et al (2012),279,,14-EF,0.27,,,,,0.42,,,0.42,0.54,,0.26,0.46,1,
Fuchs et al (2012),279,,15-Age,,,,,,,,,,,,,,,
Bjork et al (2013),60,yxj20,1-PA,1,,,,,,,,,,,,,,
Bjork et al (2013),60,,2-digitPM,,1,,,,,,,,,,,,,
Bjork et al (2013),60,,3-nondigitPM,,,1,,,,,,,,,,,,
Bjork et al (2013),60,,4-digitRAN,,,,1,,,,,,,,,,,
Bjork et al (2013),60,,5-non-digitRAN,,,,,1,,,,,,,,,,
Bjork et al (2013),60,,6-mathFluency,,,,,,1,,,,,,,,,
Bjork et al (2013),60,,7-mathAccuracy,0.718,,,,,,1,,,,,,,,
Bjork et al (2013),60,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Bjork et al (2013),60,,9-calculation,0.593,,,,,,0.744,,1,,,,,,
Bjork et al (2013),60,,10-WordProblem,0.718,,,,,,0.744,,0.744,1,,,,,
Bjork et al (2013),60,,11-VerbalIQ,,,,,,,,,,,1,,,,
Bjork et al (2013),60,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Bjork et al (2013),60,,13-Vocabulary ,0.61,,,,,,0.605,,0.546,0.664,,,1,,
Bjork et al (2013),60,,14-EF,,,,,,,,,,,,,,1,
Bjork et al (2013),60,,15-Age,0.206,,,,,,0.3135,,0.283,0.344,,,,,
Campos et al (2013),103,yxj21,1-PA,1,,,,,,,,,,,,,,
Campos et al (2013),103,,2-digitPM,,1,,,,,,,,,,,,,
Campos et al (2013),103,,3-nondigitPM,,,1,,,,,,,,,,,,
Campos et al (2013),103,,4-digitRAN,,,,1,,,,,,,,,,,
Campos et al (2013),103,,5-non-digitRAN,,,,,1,,,,,,,,,,
Campos et al (2013),103,,6-mathFluency,,,,,,1,,,,,,,,,
Campos et al (2013),103,,7-mathAccuracy,,,,,,,1,,,,,,,,
Campos et al (2013),103,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Campos et al (2013),103,,9-calculation,,,,,,,,,1,,,,,,
Campos et al (2013),103,,10-WordProblem,,,,,,,,0.219,,1,,,,,
Campos et al (2013),103,,11-VerbalIQ,,,,,,,,,,,1,,,,
Campos et al (2013),103,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Campos et al (2013),103,,13-Vocabulary ,,,,,,,,,,,,,1,,
Campos et al (2013),103,,14-EF,,,,,,,,0.53,,0.717,,,,1,
Campos et al (2013),103,,15-Age,,,,,,,,,,,,,,,
Cupples et al (2013),93,yxj22,1-PA,1,,,,,,,,,,,,,,
Cupples et al (2013),93,,2-digitPM,,1,,,,,,,,,,,,,
Cupples et al (2013),93,,3-nondigitPM,,,1,,,,,,,,,,,,
Cupples et al (2013),93,,4-digitRAN,,,,1,,,,,,,,,,,
Cupples et al (2013),93,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cupples et al (2013),93,,6-mathFluency,,,,,,1,,,,,,,,,
Cupples et al (2013),93,,7-mathAccuracy,0.42,,,,,,1,,,,,,,,
Cupples et al (2013),93,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Cupples et al (2013),93,,9-calculation,,,,,,,,,1,,,,,,
Cupples et al (2013),93,,10-WordProblem,0.42,,,,,,0.42,,,1,,,,,
Cupples et al (2013),93,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cupples et al (2013),93,,12-nonverbalIQ,0.3,,,,,,0.47,,,0.47,,1,,,
Cupples et al (2013),93,,13-Vocabulary ,0.463,,,,,,0.34,,,0.65,,,1,,
Cupples et al (2013),93,,14-EF,,,,,,,,,,,,,,1,
Cupples et al (2013),93,,15-Age,,,,,,,,,,,,,,,
Georgiou et al (2013),72,yxj23,1-PA,1,,,,,,,,,,,,,,
Georgiou et al (2013),72,,2-digitPM,,1,,,,,,,,,,,,,
Georgiou et al (2013),72,,3-nondigitPM,0.51,,1,,,,,,,,,,,,
Georgiou et al (2013),72,,4-digitRAN,,,,1,,,,,,,,,,,
Georgiou et al (2013),72,,5-non-digitRAN,0.175,,0.12,,1,,,,,,,,,,
Georgiou et al (2013),72,,6-mathFluency,0.36,,0.32,,0.3,1,,,,,,,,,
Georgiou et al (2013),72,,7-mathAccuracy,0.48,,0.43,,0.305,0.575,1,,,,,,,,
Georgiou et al (2013),72,,8-basicNumberKnowledge,0.48,,0.43,,0.3,0.575,0.575,1,,,,,,,
Georgiou et al (2013),72,,9-calculation,0.36,,,,,,,,1,,,,,,
Georgiou et al (2013),72,,10-WordProblem,,,,,,,,,,1,,,,,
Georgiou et al (2013),72,,11-VerbalIQ,,,,,,,,,,,1,,,,
Georgiou et al (2013),72,,12-nonverbalIQ,0.44,,0.33,,0.1515,0.4,0.395,0.395,0.4,,,1,,,
Georgiou et al (2013),72,,13-Vocabulary ,,,,,,,,,,,,,1,,
Georgiou et al (2013),72,,14-EF,0.22,,0.06,,0.045,0,0.21,0.21,0.26,,,0.26,,1,
Georgiou et al (2013),72,,15-Age,,,,,,,,,,,,,,,
Cowan et al (2014),258,yxj24,1-PA,1,,,,,,,,,,,,,,
Cowan et al (2014),258,,2-digitPM,,1,,,,,,,,,,,,,
Cowan et al (2014),258,,3-nondigitPM,,,1,,,,,,,,,,,,
Cowan et al (2014),258,,4-digitRAN,,,,1,,,,,,,,,,,
Cowan et al (2014),258,,5-non-digitRAN,,,0.14,,1,,,,,,,,,,
Cowan et al (2014),258,,6-mathFluency,,,0.27,,0.32,1,,,,,,,,,
Cowan et al (2014),258,,7-mathAccuracy,,,0.375,,0.21,0.64,1,,,,,,,,
Cowan et al (2014),258,,8-basicNumberKnowledge,,,0.21,,0.2725,0.64,0.4425,1,,,,,,,
Cowan et al (2014),258,,9-calculation,,,0.35,,0.265,0.64,0.64,0.4425,1,,,,,,
Cowan et al (2014),258,,10-WordProblem,,,0.4,,0.21,0.72,0.69,0.349275,0.69,1,,,,,
Cowan et al (2014),258,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cowan et al (2014),258,,12-nonverbalIQ,,,0.31,,0.02,0.35,0.53,0.355,0.435,0.58,,1,,,
Cowan et al (2014),258,,13-Vocabulary ,,,0.45,,0.03,0.23,0.49,0.2675,0.49,0.59,,0.55,1,,
Cowan et al (2014),258,,14-EF,,,0.43,,0.24,0.35,0.44,0.244,0.35,0.52,,0.38,0.24,1,
Cowan et al (2014),258,,15-Age,,,,,,,,,,,,,,,
Foster et al (2015),208,yxj25,1-PA,1,,,,,,,,,,,,,,
Foster et al (2015),208,,2-digitPM,,1,,,,,,,,,,,,,
Foster et al (2015),208,,3-nondigitPM,0.22,,1,,,,,,,,,,,,
Foster et al (2015),208,,4-digitRAN,,,,1,,,,,,,,,,,
Foster et al (2015),208,,5-non-digitRAN,0.29,,0.11,,1,,,,,,,,,,
Foster et al (2015),208,,6-mathFluency,,,,,,1,,,,,,,,,
Foster et al (2015),208,,7-mathAccuracy,0.51,,0.17,,0.325,,1,,,,,,,,
Foster et al (2015),208,,8-basicNumberKnowledge,0.5,,0.1,,0.325,,0.61,1,,,,,,,
Foster et al (2015),208,,9-calculation,,,,,,,,,1,,,,,,
Foster et al (2015),208,,10-WordProblem,0.51,,0.29,,0.28,,0.61,0.61,,1,,,,,
Foster et al (2015),208,,11-VerbalIQ,,,,,,,,,,,1,,,,
Foster et al (2015),208,,12-nonverbalIQ,0.32,,0.13,,0.19,,0.345,0.345,,0.32,,1,,,
Foster et al (2015),208,,13-Vocabulary ,0.53,,0.22,,0.15,,0.355,0.355,,0.37,,0.32,1,,
Foster et al (2015),208,,14-EF,,,,,,,,,,,,,,1,
Foster et al (2015),208,,15-Age,0.08,,0.03,,0.02,,0.12,0.12,,0.01,,0.08,,,
Cui at al (2017),160,yxj26,1-PA,1,,,,,,,,,,,,,,
Cui at al (2017),160,,2-digitPM,,1,,,,,,,,,,,,,
Cui at al (2017),160,,3-nondigitPM,,,1,,,,,,,,,,,,
Cui at al (2017),160,,4-digitRAN,,,,1,,,,,,,,,,,
Cui at al (2017),160,,5-non-digitRAN,,,,,1,,,,,,,,,,
Cui at al (2017),160,,6-mathFluency,0.3,,0.26,0.35,0.325,1,,,,,,,,,
Cui at al (2017),160,,7-mathAccuracy,0.23,,0.14,0.28,0.27,0.39,1,,,,,,,,
Cui at al (2017),160,,8-basicNumberKnowledge,0.23,,0.14,0.28,0.27,0.39,0.39,1,,,,,,,
Cui at al (2017),160,,9-calculation,0.3,,0.26,0.35,0.325,0.61,0.39,0.39,1,,,,,,
Cui at al (2017),160,,10-WordProblem,,,,,,,,,,1,,,,,
Cui at al (2017),160,,11-VerbalIQ,,,,,,,,,,,1,,,,
Cui at al (2017),160,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Cui at al (2017),160,,13-Vocabulary ,,,,,,,,,,,,,1,,
Cui at al (2017),160,,14-EF,,,,,,,,,,,,,,1,
Cui at al (2017),160,,15-Age,,,,,,,,,,,,,,,
Child et al (2018),233,yxj27_1,1-PA,1,,,,,,,,,,,,,,
Child et al (2018),233,,2-digitPM,,1,,,,,,,,,,,,,
Child et al (2018),233,,3-nondigitPM,,,1,,,,,,,,,,,,
Child et al (2018),233,,4-digitRAN,,,,1,,,,,,,,,,,
Child et al (2018),233,,5-non-digitRAN,,,,,1,,,,,,,,,,
Child et al (2018),233,,6-mathFluency,0.43,,,,,1,,,,,,,,,
Child et al (2018),233,,7-mathAccuracy,0.36,,,0.22,,0.62,1,,,,,,,,
Child et al (2018),233,,8-basicNumberKnowledge,0.51,,,0.22,,0.29,0.35,1,,,,,,,
Child et al (2018),233,,9-calculation,0.433,,,,,,,,1,,,,,,
Child et al (2018),233,,10-WordProblem,,,,,,,,,,1,,,,,
Child et al (2018),233,,11-VerbalIQ,,,,,,,,,,,1,,,,
Child et al (2018),233,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Child et al (2018),233,,13-Vocabulary ,,,,,,,,,,,,,1,,
Child et al (2018),233,,14-EF,,,,,,,,0.18,,,,,,1,
Child et al (2018),233,,15-Age,,,,,,,,,,,,,,,
Child et al (2018),261,yxj27_2,1-PA,1,,,,,,,,,,,,,,
Child et al (2018),261,,2-digitPM,,1,,,,,,,,,,,,,
Child et al (2018),261,,3-nondigitPM,,,1,,,,,,,,,,,,
Child et al (2018),261,,4-digitRAN,,,,1,,,,,,,,,,,
Child et al (2018),261,,5-non-digitRAN,,,,,1,,,,,,,,,,
Child et al (2018),261,,6-mathFluency,,,,,,1,,,,,,,,,
Child et al (2018),261,,7-mathAccuracy,,,,0.42,,,1,,,,,,,,
Child et al (2018),261,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Child et al (2018),261,,9-calculation,,,,0.42,,,,,1,,,,,,
Child et al (2018),261,,10-WordProblem,,,,,,,,,,1,,,,,
Child et al (2018),261,,11-VerbalIQ,,,,,,,,,,,1,,,,
Child et al (2018),261,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Child et al (2018),261,,13-Vocabulary ,,,,,,,,,,,,,1,,
Child et al (2018),261,,14-EF,,,,,,,,,,,,,,1,
Child et al (2018),261,,15-Age,,,,,,,,,,,,,,,
Child et al (2018),245,yxj27_3,1-PA,1,,,,,,,,,,,,,,
Child et al (2018),245,,2-digitPM,,1,,,,,,,,,,,,,
Child et al (2018),245,,3-nondigitPM,,,1,,,,,,,,,,,,
Child et al (2018),245,,4-digitRAN,,,,1,,,,,0.18,,,,,,
Child et al (2018),245,,5-non-digitRAN,,,,,1,,,,,,,,,,
Child et al (2018),245,,6-mathFluency,,,,,,1,,,,,,,,,
Child et al (2018),245,,7-mathAccuracy,,,,0.18,,,1,,,,,,,,
Child et al (2018),245,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Child et al (2018),245,,9-calculation,,,,,,,,,1,,,,,,
Child et al (2018),245,,10-WordProblem,,,,0.18,,,,,,1,,,,,
Child et al (2018),245,,11-VerbalIQ,,,,,,,,,,,1,,,,
Child et al (2018),245,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Child et al (2018),245,,13-Vocabulary ,,,,,,,,,,,,,1,,
Child et al (2018),245,,14-EF,,,,,,,,,,,,,,1,
Child et al (2018),245,,15-Age,,,,,,,,,,,,,,,
Child et al (2018),168,yxj27_4,1-PA,1,,,,,,,,,,,,,,
Child et al (2018),168,,2-digitPM,,1,,,,,,,,,,,,,
Child et al (2018),168,,3-nondigitPM,,,1,,,,,,,,,,,,
Child et al (2018),168,,4-digitRAN,,,,1,,,,,,,,,,,
Child et al (2018),168,,5-non-digitRAN,,,,,1,,,,,,,,,,
Child et al (2018),168,,6-mathFluency,0.43,,,,,1,,,,,,,,,
Child et al (2018),168,,7-mathAccuracy,0.36,,,0.22,,0.62,1,,,,,,,,
Child et al (2018),168,,8-basicNumberKnowledge,0.51,,,0.22,,0.29,0.35,1,,,,,,,
Child et al (2018),168,,9-calculation,0.433,,,,,,,,1,,,,,,
Child et al (2018),168,,10-WordProblem,,,,,,,,,,1,,,,,
Child et al (2018),168,,11-VerbalIQ,,,,,,,,,,,1,,,,
Child et al (2018),168,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Child et al (2018),168,,13-Vocabulary ,,,,,,,,,,,,,1,,
Child et al (2018),168,,14-EF,,,,,,,,0.18,,,,,,1,
Child et al (2018),168,,15-Age,,,,,,,,,,,,,,,
Hecht(2001),201,yxj28,1-PA,1,,,,,,,,,,,,,,
Hecht(2001),201,,2-digitPM,,1,,,,,,,,,,,,,
Hecht(2001),201,,3-nondigitPM,,,1,,,,,,,,,,,,
Hecht(2001),201,,4-digitRAN,,,,1,,,,,,,,,,,
Hecht(2001),201,,5-non-digitRAN,,,,,1,,,,,,,,,,
Hecht(2001),201,,6-mathFluency,0.51,0.355,,0.545,,1,,,,,,,,,
Hecht(2001),201,,7-mathAccuracy,0.51,0.402,,0.493,,,1,,,,,,,,
Hecht(2001),201,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Hecht(2001),201,,9-calculation,0.5625,0.4775,,0.5775,,,,,1,,,,,,
Hecht(2001),201,,10-WordProblem,,,,,,,,,,1,,,,,
Hecht(2001),201,,11-VerbalIQ,,,,,,,,,,,1,,,,
Hecht(2001),201,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Hecht(2001),201,,13-Vocabulary ,,,,,,,,,,,,,1,,
Hecht(2001),201,,14-EF,,,,,,,,,,,,,,1,
Hecht(2001),201,,15-Age,,,,,,,,,,,,,,,
Imbo(2007),63,yxj29,1-PA,1,,,,,,,,,,,,,,
Imbo(2007),63,,2-digitPM,,1,,,,,,,,,,,,,
Imbo(2007),63,,3-nondigitPM,,,1,,,,,,,,,,,,
Imbo(2007),63,,4-digitRAN,,,,1,,,,,,,,,,,
Imbo(2007),63,,5-non-digitRAN,,,,,1,,,,,,,,,,
Imbo(2007),63,,6-mathFluency,,0.14,,,,1,,,,,,,,,
Imbo(2007),63,,7-mathAccuracy,,,,,,,1,,,,,,,,
Imbo(2007),63,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Imbo(2007),63,,9-calculation,,0.14,,,,,,,1,,,,,,
Imbo(2007),63,,10-WordProblem,,,,,,,,,,1,,,,,
Imbo(2007),63,,11-VerbalIQ,,,,,,,,,,,1,,,,
Imbo(2007),63,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Imbo(2007),63,,13-Vocabulary ,,,,,,,,,,,,,1,,
Imbo(2007),63,,14-EF,,,,,,,,,,,,,,1,
Imbo(2007),63,,15-Age,,,,,,,,,,,,,,,
Jap(2017),75,yxj30_1,1-PA,1,,,,,,,,,,,,,,
Jap(2017),75,,2-digitPM,0.08,1,,,,,,,,,,,,,
Jap(2017),75,,3-nondigitPM,,,1,,,,,,,,,,,,
Jap(2017),75,,4-digitRAN,0.128,0.263,,1,,,,,,,,,,,
Jap(2017),75,,5-non-digitRAN,0.1045,0.09,,,1,,,,,,,,,,
Jap(2017),75,,6-mathFluency,0.509,0.276,,0.175,0.265,1,,,,,,,,,
Jap(2017),75,,7-mathAccuracy,,,,,,,1,,,,,,,,
Jap(2017),75,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Jap(2017),75,,9-calculation,0.509,0.276,,0.265,0.265,,,,1,,,,,,
Jap(2017),75,,10-WordProblem,,,,,,,,,,1,,,,,
Jap(2017),75,,11-VerbalIQ,,,,,,,,,,,1,,,,
Jap(2017),75,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Jap(2017),75,,13-Vocabulary ,,,,,,,,,,,,,1,,
Jap(2017),75,,14-EF,,,,,,,,,,,,,,1,
Jap(2017),75,,15-Age,,,,,,,,,,,,,,,
Jap(2017),64,yxj30_2,1-PA,1,,,,,,,,,,,,,,
Jap(2017),64,,2-digitPM,0.158,1,,,,,,,,,,,,,
Jap(2017),64,,3-nondigitPM,,,1,,,,,,,,,,,,
Jap(2017),64,,4-digitRAN,-0.014,0.012,,1,,,,,,,,,,,
Jap(2017),64,,5-non-digitRAN,0.1355,0.102,,,1,,,,,,,,,,
Jap(2017),64,,6-mathFluency,0.26,0.194,,0.126,0.08,1,,,,,,,,,
Jap(2017),64,,7-mathAccuracy,,,,,,,1,,,,,,,,
Jap(2017),64,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Jap(2017),64,,9-calculation,0.26,0.194,,0.126,0.08,,,,1,,,,,,
Jap(2017),64,,10-WordProblem,,,,,,,,,,1,,,,,
Jap(2017),64,,11-VerbalIQ,,,,,,,,,,,1,,,,
Jap(2017),64,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Jap(2017),64,,13-Vocabulary ,,,,,,,,,,,,,1,,
Jap(2017),64,,14-EF,,,,,,,,,,,,,,1,
Jap(2017),64,,15-Age,,,,,,,,,,,,,,,
Kail(1999),24,yxj31_1,1-PA,1,,,,,,,,,,,,,,
Kail(1999),24,,2-digitPM,,1,,,,,,,,,,,,,
Kail(1999),24,,3-nondigitPM,,0.55,1,,,,,,,,,,,,
Kail(1999),24,,4-digitRAN,,,,1,,,,,,,,,,,
Kail(1999),24,,5-non-digitRAN,,,,,1,,,,,,,,,,
Kail(1999),24,,6-mathFluency,,0.145,0.32,,,1,,,,,,,,,
Kail(1999),24,,7-mathAccuracy,,0.075,0.24,,,0.47,1,,,,,,,,
Kail(1999),24,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Kail(1999),24,,9-calculation,,0.075,0.24,,,0.47,0.47,,1,,,,,,
Kail(1999),24,,10-WordProblem,,0.255,0.32,,,0.53,0.53,,,1,,,,,
Kail(1999),24,,11-VerbalIQ,,,,,,,,,,,1,,,,
Kail(1999),24,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Kail(1999),24,,13-Vocabulary ,,,,,,,,,,,,,1,,
Kail(1999),24,,14-EF,,,,,,,,,,,,,,1,
Kail(1999),24,,15-Age,,0.19,0.28,,,0.47,0.27,,0.37,0.365,,,,,
Kail(1999),155,yxj31_2,1-PA,1,,,,,,,,,,,,,,
Kail(1999),155,,2-digitPM,,1,,,,,,,,,,,,,
Kail(1999),155,,3-nondigitPM,,,1,,,,,,,,,,,,
Kail(1999),155,,4-digitRAN,,,,1,,,,,,,,,,,
Kail(1999),155,,5-non-digitRAN,,,,,1,,,,,,,,,,
Kail(1999),155,,6-mathFluency,,,0.2625,,,1,,,,,,,,,
Kail(1999),155,,7-mathAccuracy,,,0.12,,,0.47,1,,,,,,,,
Kail(1999),155,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Kail(1999),155,,9-calculation,,,0.19125,,,0.47,0.47,,1,,,,,,
Kail(1999),155,,10-WordProblem,,,0.2425,,,0.47,0.47,,0.48625,1,,,,,
Kail(1999),155,,11-VerbalIQ,,,,,,,,,,,1,,,,
Kail(1999),155,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Kail(1999),155,,13-Vocabulary ,,,,,,,,,,,,,1,,
Kail(1999),155,,14-EF,,,,,,,,,,,,,,1,
Kail(1999),155,,15-Age,,,0.26,,,0.54,0.23,,0.39,0.42,,,,,
Kleemans(2011),130,yxj32,1-PA,1,,,,,,,,,,,,,,
Kleemans(2011),130,,2-digitPM,,1,,,,,,,,,,,,,
Kleemans(2011),130,,3-nondigitPM,,,1,,,,,,,,,,,,
Kleemans(2011),130,,4-digitRAN,,,,1,,,,,,,,,,,
Kleemans(2011),130,,5-non-digitRAN,,,,,1,,,,,,,,,,
Kleemans(2011),130,,6-mathFluency,,,,,,1,,,,,,,,,
Kleemans(2011),130,,7-mathAccuracy,0.282,,,,,,1,,,,,,,,
Kleemans(2011),130,,8-basicNumberKnowledge,0.282,,,,,,,1,,,,,,,
Kleemans(2011),130,,9-calculation,,,,,,,,,1,,,,,,
Kleemans(2011),130,,10-WordProblem,,,,,,,,,,1,,,,,
Kleemans(2011),130,,11-VerbalIQ,,,,,,,,,,,1,,,,
Kleemans(2011),130,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Kleemans(2011),130,,13-Vocabulary ,,,,,,,,,,,,,1,,
Kleemans(2011),130,,14-EF,,,,,,,,,,,,,,1,
Kleemans(2011),130,,15-Age,,,,,,,,,,,,,,,
Kleemans(2014),129,yxj33,1-PA,1,,,,,,,,,,,,,,
Kleemans(2014),129,,2-digitPM,,1,,,,,,,,,,,,,
Kleemans(2014),129,,3-nondigitPM,0.053,,1,,,,,,,,,,,,
Kleemans(2014),129,,4-digitRAN,,,,1,,,,,,,,,,,
Kleemans(2014),129,,5-non-digitRAN,,,,,1,,,,,,,,,,
Kleemans(2014),129,,6-mathFluency,0.456,,,,,1,,,,,,,,,
Kleemans(2014),129,,7-mathAccuracy,,,,,,0.299,1,,,,,,,,
Kleemans(2014),129,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Kleemans(2014),129,,9-calculation,0.456,,0.2145,,,,,,1,,,,,,
Kleemans(2014),129,,10-WordProblem,,,,,,,,,,1,,,,,
Kleemans(2014),129,,11-VerbalIQ,,,,,,,,,,,1,,,,
Kleemans(2014),129,,12-nonverbalIQ,0.001,,0.02,,,,,,0.2855,,,1,,,
Kleemans(2014),129,,13-Vocabulary ,,,,,,,,,,,,,1,,
Kleemans(2014),129,,14-EF,-0.034,,-0.049,,,,,,0.1185,,,0.197,,1,
Kleemans(2014),129,,15-Age,,,,,,,,,,,,,,,
Kleemans(2011)2,172,yxj34,,1,,,,,,,,,,,,,,
Kleemans(2011)2,172,,2-digitPM,,1,,,,,,,,,,,,,
Kleemans(2011)2,172,,3-nondigitPM,,,1,,,,,,,,,,,,
Kleemans(2011)2,172,,4-digitRAN,,,,1,,,,,,,,,,,
